dataset,split,hops,max_nodes,max_edges,add_reverse_edges,split_reverse_relations,evaluated_with_gold,no_gold,any_gold,any_ratio,all_gold,all_ratio,avg_nodes,avg_edges
cwq,dev,3,2048,8192,True,False,3519,0,2848,0.8093208297811878,2720,0.7729468599033816,1284.4009661835748,6014.633702756465
cwq,dev,3,2048,12288,True,False,3519,0,2848,0.8093208297811878,2720,0.7729468599033816,1284.4009661835748,7428.653878942881
cwq,dev,3,3072,8192,True,False,3519,0,2848,0.8093208297811878,2720,0.7729468599033816,1284.4009661835748,6014.633702756465
cwq,dev,3,3072,12288,True,False,3519,0,2848,0.8093208297811878,2720,0.7729468599033816,1284.4009661835748,7428.653878942881
cwq,dev,4,2048,8192,True,False,3519,0,2848,0.8093208297811878,2720,0.7729468599033816,1284.4009661835748,6014.633702756465
cwq,dev,4,2048,12288,True,False,3519,0,2848,0.8093208297811878,2720,0.7729468599033816,1284.4009661835748,7428.653878942881
cwq,dev,4,3072,8192,True,False,3519,0,2848,0.8093208297811878,2720,0.7729468599033816,1284.4009661835748,6014.633702756465
cwq,dev,4,3072,12288,True,False,3519,0,2848,0.8093208297811878,2720,0.7729468599033816,1284.4009661835748,7428.653878942881
cwq,test,3,2048,8192,True,False,3531,0,2848,0.8065703766638346,2758,0.7810818465024072,1281.0416312659304,6013.667233078448
cwq,test,3,2048,12288,True,False,3531,0,2848,0.8065703766638346,2758,0.7810818465024072,1281.0416312659304,7565.714245256301
cwq,test,3,3072,8192,True,False,3531,0,2848,0.8065703766638346,2758,0.7810818465024072,1281.0416312659304,6013.667233078448
cwq,test,3,3072,12288,True,False,3531,0,2848,0.8065703766638346,2758,0.7810818465024072,1281.0416312659304,7565.714245256301
cwq,test,4,2048,8192,True,False,3531,0,2848,0.8065703766638346,2758,0.7810818465024072,1281.0416312659304,6013.667233078448
cwq,test,4,2048,12288,True,False,3531,0,2848,0.8065703766638346,2758,0.7810818465024072,1281.0416312659304,7565.714245256301
cwq,test,4,3072,8192,True,False,3531,0,2848,0.8065703766638346,2758,0.7810818465024072,1281.0416312659304,6013.667233078448
cwq,test,4,3072,12288,True,False,3531,0,2848,0.8065703766638346,2758,0.7810818465024072,1281.0416312659304,7565.714245256301
